Id,SalePrice
1461,116961.75625955153
1462,158259.18038264642
1463,181526.79215385875
1464,199041.9728956126
1465,191563.6725866115
1466,172597.5637001063
1467,171916.81220650615
1468,162220.97777956445
1469,191975.1706270585
1470,119869.57962721321
1471,183280.33798557782
1472,95271.49236039154
1473,93475.9337920906
1474,143407.5858247151
1475,110056.22327420585
1476,375381.1038593514
1477,251740.6176417956
1478,305382.3701858596
1479,313794.2253305055
1480,511968.6451895692
1481,326216.9005450789
1482,219904.45816097944
1483,173984.085823536
1484,166978.8413746708
1485,186811.31060146284
1486,190705.01537651545
1487,320480.57172533986
1488,235668.53585885416
1489,192827.34368033358
1490,216833.48465926392
1491,193498.5436710329
1492,87970.80582599636
1493,187245.63585176927
1494,282935.74544144585
1495,277366.75263653253
1496,226774.78004656723
1497,178678.87804613815
1498,170102.75092175708
1499,159370.6225955411
1500,152618.4719234222
1501,175715.12984598288
1502,149915.782781202
1503,286941.6330670783
1504,238387.87016689367
1505,216709.22538050817
1506,187103.52385939565
1507,242775.7306052031
1508,201629.07387576243
1509,166127.7683694561
1510,141070.4602672406
1511,145066.90504167113
1512,163449.1510104399
1513,145122.91114309372
1514,141679.87370214972
1515,197739.30459100014
1516,154546.6826604305
1517,167991.1855215153
1518,133238.41859774478
1519,201272.70344480177
1520,129104.81900777898
1521,134591.35040101135
1522,166116.9354570367
1523,117252.2745011086
1524,124197.08769982733
1525,121608.20024258798
1526,111409.86529104639
1527,104345.8711384892
1528,136670.9899333526
1529,150964.64537390549
1530,183517.9111007184
1531,110542.1471358708
1532,92379.39288197819
1533,140437.83594572078
1534,123705.40586133445
1535,151217.46761591407
1536,107298.38183627209
1537,60243.00438136601
1538,144437.5959338934
1539,182796.08378630917
1540,89450.78647136074
1541,147655.85416763969
1542,142517.3884067461
1543,205889.4180279327
1544,78894.75381789528
1545,109932.89107942407
1546,132667.76230176748
1547,135169.59784641964
1548,133557.6095205404
1549,119542.61598639151
1550,135395.77069753042
1551,102825.09455670176
1552,137487.34047453612
1553,142781.18759871865
1554,115393.37329899723
1555,159336.05218646518
1556,89582.91292679138
1557,92744.93976034904
1558,99033.58578480713
1559,67045.99476481634
1560,134750.86317548002
1561,120879.83283471032
1562,128511.06937549978
1563,116894.44117762029
1564,154540.99807911436
1565,146628.81430074884
1566,239647.2711896288
1567,75969.31206619897
1568,219559.567241432
1569,133110.52745534282
1570,140095.72322381003
1571,119291.68145732407
1572,141314.80302744597
1573,255167.37987466232
1574,116815.49925479147
1575,216296.91200140357
1576,239223.59670038914
1577,196008.38288227882
1578,149260.75246860093
1579,138332.78404177894
1580,200401.22517870125
1581,150086.34824469688
1582,125928.61454899398
1583,285358.08457812644
1584,217841.36602804495
1585,137256.88891444798
1586,73159.47830547072
1587,97717.72662050692
1588,150064.07834005478
1589,94617.50278240058
1590,135850.46417147855
1591,94709.4043116133
1592,114474.61541373306
1593,123352.11568030347
1594,147139.61574000714
1595,108789.45058963861
1596,236832.34326234387
1597,201463.32510459458
1598,228198.30191744852
1599,170520.3986493463
1600,165313.1744429529
1601,66598.02876768439
1602,108537.51507508723
1603,73253.92599146883
1604,259188.7439381366
1605,247626.47225015386
1606,169360.24380177056
1607,169135.74826289224
1608,218435.04780317657
1609,185903.78311626817
1610,146158.06129035904
1611,143310.65158184146
1612,173793.55308235536
1613,161339.60921539337
1614,118292.11994270241
1615,94365.83726880659
1616,77203.10234612347
1617,93419.7117776166
1618,125945.95547330007
1619,136835.96536357116
1620,157369.49946371152
1621,142640.94441109747
1622,138831.89403196063
1623,252149.99424818536
1624,202927.67539966517
1625,117605.27143196815
1626,161694.50235476746
1627,186952.952515239
1628,300900.66470322455
1629,186613.87872239985
1630,331759.8783536984
1631,224756.52101832727
1632,241094.22193444226
1633,174521.55475932377
1634,183626.5624558766
1635,179964.60080090724
1636,154210.70162382766
1637,197839.89069788798
1638,177106.52303380944
1639,183364.78827428457
1640,252219.15460803657
1641,177555.75071574218
1642,242683.68110352103
1643,216732.41469359194
1644,242553.70889591708
1645,193435.5056482425
1646,159634.62549458482
1647,161553.30801113095
1648,132801.92878871097
1649,140809.1636022639
1650,107882.93428666297
1651,124466.69398324011
